CE ##            ADC A,#
8E               ADC A,(HL)
DD 8E $$         ADC A,(IX+$)
FD 8E $$         ADC A,(IY+$)
8F               ADC A,A
88               ADC A,B
89               ADC A,C
8A               ADC A,D
8B               ADC A,E
8C               ADC A,H
DD 8C            ADC A,IXH
DD 8D            ADC A,IXL
FD 8C            ADC A,IYH
FD 8D            ADC A,IYL
8D               ADC A,L
ED 4A            ADC HL,BC
ED 5A            ADC HL,DE
ED 6A            ADC HL,HL
ED 7A            ADC HL,SP
C6 ##            ADD A,#
86               ADD A,(HL)
DD 86 $$         ADD A,(IX+$)
FD 86 $$         ADD A,(IY+$)
87               ADD A,A
80               ADD A,B
81               ADD A,C
82               ADD A,D
83               ADD A,E
84               ADD A,H
DD 84            ADD A,IXH
DD 85            ADD A,IXL
FD 84            ADD A,IYH
FD 85            ADD A,IYL
85               ADD A,L
09               ADD HL,BC
19               ADD HL,DE
29               ADD HL,HL
39               ADD HL,SP
DD 09            ADD IX,BC
DD 19            ADD IX,DE
DD 29            ADD IX,IX
DD 39            ADD IX,SP
FD 09            ADD IY,BC
FD 19            ADD IY,DE
FD 29            ADD IY,IY
FD 39            ADD IY,SP
E6 ##            AND #
A6               AND (HL)
DD A6 $$         AND (IX+$)
FD A6 $$         AND (IY+$)
A7               AND A
A6               AND A,(HL)
A7               AND A,A
A0               AND A,B
A1               AND A,C
A2               AND A,D
A3               AND A,E
A4               AND A,H
A5               AND A,L
A0               AND B
A1               AND C
A2               AND D
A3               AND E
A4               AND H
DD A4            AND IXH
DD A5            AND IXL
FD A4            AND IYH
FD A5            AND IYL
A5               AND L
<group>          BIT ?,(HL)
CB 46            BIT 0,(HL)
CB 4E            BIT 1,(HL)
CB 56            BIT 2,(HL)
CB 5E            BIT 3,(HL)
CB 66            BIT 4,(HL)
CB 6E            BIT 5,(HL)
CB 76            BIT 6,(HL)
CB 7E            BIT 7,(HL)
<group>          BIT ?,(IX+?)
DD CB $$ 46      BIT 0,(IX+$)
